Alanyl-tRNA synthetase	alaS	YES	TIGR00344 (HMM): alanine--tRNA ligase	
Arginyl-tRNA synthetase	argS	YES	PF00750 (HMM): arginine--tRNA ligase	
Aspartyl-tRNA synthetase	aspS	YES	TIGR00459 (HMM): aspartate--tRNA ligase	
Obg family GTPase CgtA	cgtA	YES	TIGR02729 (HMM): Obg family GTPase CgtA	
dephospho-CoA kinase	coaE	YES	TIGR00152 (HMM): dephospho-CoA kinase	
cysteinyl-tRNA synthetase	cysS	YES	TIGR00435 (HMM): cysteine--tRNA ligase	
chromosomal replication initiator protein DnaA	dnaA	YES	TIGR00362 (HMM): chromosomal replication initiator protein DnaA	
DNA primase	dnaG	YES	TIGR01391 (HMM): DNA primase	
chaperone protein DnaK	dnaK	YES	TIGR02350 (HMM): chaperone protein DnaK	
DNA polymerase III, beta subunit	dnaN	YES	TIGR00663 (HMM): DNA polymerase III, beta subunit	
DNA polymerase III, subunits gamma and tau	dnaX	YES	TIGR02397 (HMM): DNA polymerase III, subunit gamma and tau	
ribosome-associated GTPase EngA	engA	YES	TIGR03594 (HMM): ribosome-associated GTPase EngA	
GTP-binding protein Era	era	YES	TIGR00436 (HMM): GTP-binding protein Era	
signal recognition particle protein	ffh	YES	TIGR00959 (HMM): signal recognition particle protein	
methionyl-tRNA formyltransferase	fmt	YES	TIGR00460 (HMM): methionyl-tRNA formyltransferase	
ribosome recycling factor	frr	YES	TIGR00496 (HMM): ribosome recycling factor	
signal recognition particle-docking protein FtsY	ftsY	YES	TIGR00064 (HMM): signal recognition particle-docking protein FtsY	
glycyl-tRNA synthetase	glyS	YES	TIGR00389 (HMM): glycine--tRNA ligase
TIGR00388 (HMM): glycine--tRNA ligase, alpha subunit	
guanylate kinase	gmk	YES	TIGR03263 (HMM): guanylate kinase	
co-chaperone GrpE	grpE	YES	PF01025 (HMM): co-chaperone GrpE	
DNA gyrase, A subunit	gyrA	YES	TIGR01063 (HMM): DNA gyrase, A subunit	
DNA gyrase, B subunit	gyrB	YES	TIGR01059 (HMM): DNA gyrase, B subunit	
histidyl-tRNA synthetase	hisS	YES	TIGR00442 (HMM): histidine--tRNA ligase	
isoleucyl-tRNA synthetase	ileS	YES	TIGR00392 (HMM): isoleucine--tRNA ligase	
translation initiation factor IF-2	infB	YES	TIGR00487 (HMM): translation initiation factor IF-2	
translation initiation factor IF-3	infC	YES	TIGR00168 (HMM): translation initiation factor IF-3	
dimethyladenosine transferase	ksgA	YES	TIGR00755 (HMM): ribosomal RNA small subunit methyltransferase A	
GTP-binding protein LepA	lepA	YES	TIGR01393 (HMM): elongation factor 4	
leucyl-tRNA synthetase	leuS	YES	TIGR00396 (HMM): leucine--tRNA ligase	
DNA ligase, NAD-dependent	ligA	YES	TIGR00575 (HMM): DNA ligase, NAD-dependent	
tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	mnmA	YES	TIGR00420 (HMM): tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	
MraW methylase family	mraW	YES	PF01795 (HMM): MraW methylase family	
transcription termination factor NusA	nusA	YES	TIGR01953 (HMM): transcription termination factor NusA	
